Name                       Location              DrillSize        Start<->End
==========================================================================================
HOLEC6_00D4_10             (2.2883 -43.4464)     4.1              TOP<->BOTTOM
HOLEC6_00D4_10             (2.2883 -8.2746)      4.1              TOP<->BOTTOM
HOLEC6_00D4_10             (77.8881 -43.4464)    4.1              TOP<->BOTTOM
HOLEC6_00D4_10             (77.888 -8.2746)      4.1              TOP<->BOTTOM
HOLED1_10-NOP              (-1.0 3.95)           1.1              TOP<->BOTTOM
HOLED1_60-NOP              (81.0001 3.95)        1.6              TOP<->BOTTOM
SMDRX0_30Y2_00             (0.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (0.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (1.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (1.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (2.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (2.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (3.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (3.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (4.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (5.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (6.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (6.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (7.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (7.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (8.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (8.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (9.2498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (9.7498 7.65)         0.0              TOP<->TOP
SMDRX0_30Y2_00             (10.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (10.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (11.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (11.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (12.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (12.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (13.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (13.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (14.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (14.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (15.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (15.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (16.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (16.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (17.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (17.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (18.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (18.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (19.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (19.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (20.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (20.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (21.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (21.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (22.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (22.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (23.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (23.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (24.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (24.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (25.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (25.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (26.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (26.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (27.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (27.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (28.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (28.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (29.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (29.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (30.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (30.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (31.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (31.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (32.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (32.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (33.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (33.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (34.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (34.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (35.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (35.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (36.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (36.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (37.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (37.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (38.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (38.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (39.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (39.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (40.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (40.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (43.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (44.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (44.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (45.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (46.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (46.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (47.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (47.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (48.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (48.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (49.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (49.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (50.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (50.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (51.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (51.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (52.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (52.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (53.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (53.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (54.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (54.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (55.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (55.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (56.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (56.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (57.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (57.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (58.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (58.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (59.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (59.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (60.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (60.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (61.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (61.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (62.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (62.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (63.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (63.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (64.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (64.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (65.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (65.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (66.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (66.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (67.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (67.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (68.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (68.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (69.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (69.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (70.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (70.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (71.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (71.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (72.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (72.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (73.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (74.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (74.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (75.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (75.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (76.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (76.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (77.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (77.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (78.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (78.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (79.2498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_00             (79.7498 7.65)        0.0              TOP<->TOP
SMDRX0_30Y2_16             (0.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (0.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (1.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (1.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (2.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (2.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (3.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (3.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (4.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (5.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (6.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (6.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (7.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (7.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (8.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (8.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (9.0 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (9.5 0.0)             0.0              TOP<->TOP
SMDRX0_30Y2_16             (10.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (10.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (11.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (11.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (12.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (12.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (13.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (13.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (14.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (14.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (15.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (15.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (16.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (16.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (17.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (17.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (18.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (18.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (19.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (19.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (20.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (20.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (21.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (21.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (22.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (22.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (23.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (23.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (24.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (24.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (25.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (25.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (26.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (26.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (27.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (27.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (28.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (28.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (29.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (29.5 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (30.0 0.0)            0.0              TOP<->TOP
SMDRX0_30Y2_16             (30.5 0.0)            0.0              TOP<->TOP
